优先级,SHA,日期,分类,类型,优化内容,Ascend价值,迁移策略,Patch冲突,工作量,风险,关键文件,迁移步骤,验证场景
P2,49abadae,2026-07-09,attention-kv-cache,bugfix,"【变更概述】[ROCm] 修复：Bugfix 修复 empty-tensor max crash AITER FA
【PR号】#47894
【变更类型】此提交为问题修复类型
【变更文件】修改 vllm",medium,idea-copy,否,L,medium-risk,vllm/v1/attention/backends/rocm_aiter_fa.py,理解上游优化思路（vllm/v1/attention/backends/rocm_aiter_fa.py） | 用 Ascend 算子（TBE/AscendCL）重新实现 | 性能对比验证收益,确认 attention-kv-cache 模块在 Ascend 行为一致
P3,089e4128,2026-07-09,test-ci,performance,"【变更概述】[Perf] 更新：Integrate TRTLLM BF16 MoE Modular 内核
【PR号】#45182
【变更类型】此提交为性能优化类型
【变更文件】新增 tests/ker",low,auto-inherit,否,S,low-risk,"tests/kernels/moe/test_trtllm_bf16_moe.py, tests/kernels/moe/test_unquantized_backend_selection.py, vllm/model_executor/layers/fused_moe/experts/trtllm_bf16_moe.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
skip,b2cf70ea,2026-07-09,test-ci,bugfix,[CI] BugFix Eval Small Models Distributed test for DiffusionGemma (#47980),none,skip,否,S,low-risk,"tests/evals/gsm8k/configs/DiffusionGemma-26B-A4B-it-FP8-dynamic.yaml, tests/evals/gsm8k/test_gsm8k_correctness.py",,
P3,d1f1d867,2026-07-09,test-ci,bugfix,"【变更概述】[Bugfix] 更新：Re-enable benchmarking librispeech dataset
【PR号】#47033
【变更类型】此提交为问题修复类型
【变更文件】修改 t",low,auto-inherit,否,S,low-risk,"tests/benchmarks/test_audio_dataset.py, vllm/benchmarks/datasets/datasets.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,300e3379,2026-07-10,model-architecture,performance,"【变更概述】[Perf] 更新：fuse more rmsnorm all-reduce qwen3.5
【PR号】#46998
【变更类型】此提交为性能优化类型
【变更文件】修改 vllm/mode",medium,auto-inherit,否,S,medium-risk,"vllm/model_executor/layers/mamba/gdn/qwen_gdn_linear_attn.py, vllm/model_executor/models/qwen3_next.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
P3,88e5e2c5,2026-07-10,test-ci,bugfix,"【变更概述】[CI/Build] 修复：AMD 修复 ROCm OOM eagle_correctness_heavy by reserving CUDA graph 内存
【PR号】#47366
【",low,auto-inherit,否,S,low-risk,"tests/v1/e2e/spec_decode/test_spec_decode.py, vllm/v1/worker/gpu_worker.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
skip,feb384ad,2026-07-10,test-ci,bugfix,[bugfix] bge-m3-sparse-plugin mismatch requests (#48112),none,skip,否,S,low-risk,tests/plugins/bge_m3_sparse_plugin/bge_m3_sparse_processor/sparse_embeddings_processor.py,,
skip,e12b91b0,2026-07-10,test-ci,bugfix,[CI] Fix cargo-deny config flag ordering (#48170),none,skip,否,S,low-risk,.buildkite/scripts/run-rust-frontend-cargo-ci.sh,,
P3,766469a4,2026-07-10,other,bugfix,"【变更概述】[ROCm] 修复：Revert Part `[ROCm 修复 pooling startup workspace lock`
【PR号】#48154
【变更类型】此提交为问题修复类型
【",low,auto-inherit,否,S,low-risk,vllm/v1/worker/gpu_worker.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,b0dec2a1,2026-07-10,attention-kv-cache,performance,"【变更概述】[ROCM] 优化：DSV32][Perf][MTP Enable UNIFORM_BATCH CG mode rocm_aiter_mla_sparse
【PR号】#45149
【变更类",medium,idea-copy,否,L,medium-risk,vllm/v1/attention/backends/mla/rocm_aiter_mla_sparse.py,理解上游优化思路（vllm/v1/attention/backends/mla/rocm_aiter_mla_sparse.py） | 用 Ascend 算子（TBE/AscendCL）重新实现 | 性能对比验证收益,确认 attention-kv-cache 模块在 Ascend 行为一致
P3,ed908cf0,2026-07-11,test-ci,bugfix,"【变更概述】[Bugfix] 修复：修复 thinking_token_budget not enforced after natural </think> re-entry
【PR号】#45984
",low,auto-inherit,否,S,low-risk,"tests/v1/logits_processors/test_correctness.py, vllm/v1/sample/thinking_budget_state.py, vllm/v1/worker/gpu_input_batch.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
skip,26ff616b,2026-07-11,test-ci,bugfix,[Bugfix][Test] Register Qwen/Qwen3.5-4B example model (#48276),none,skip,否,S,low-risk,tests/models/registry.py,,
P3,735def4f,2026-07-11,other,bugfix,"【变更概述】[Bugfix] 修复：修复 FlashMLA dense fp8 metadata crash num_sm_parts clamp
【PR号】#48045
【变更类型】此提交为问题修复",low,auto-inherit,否,S,low-risk,cmake/external_projects/flashmla.cmake,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
skip,27c3e579,2026-07-12,test-ci,bugfix,[CI][Rust Frontend] Pin cargo tool versions (#48222),none,skip,否,S,low-risk,.buildkite/scripts/run-rust-frontend-cargo-ci.sh,,
P3,5f8e73cb,2026-07-12,test-ci,bugfix,"【变更概述】[Bugfix] 更新：保护 mixed-dtype AllReduce RMSNorm 量化 融合
【PR号】#48330
【变更类型】此提交为问题修复类型
【变更文件】修改 tests",low,auto-inherit,否,S,low-risk,"tests/compile/passes/distributed/test_fusion_all_reduce.py, vllm/compilation/passes/fusion/allreduce_rms_fusion.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,a02984ed,2026-07-12,model-architecture,performance,"【变更概述】[Perf] 更新：Qwen Replace MoE all-reduce reduce-scatter
【PR号】#47006
【变更类型】此提交为性能优化类型
【变更文件】修改 vll",medium,auto-inherit,否,S,medium-risk,"vllm/model_executor/layers/mamba/gdn/qwen_gdn_linear_attn.py, vllm/model_executor/models/qwen3_5.py, vllm/model_executor/models/qwen3_next.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
P2,481e481b,2026-07-12,test-ci,bugfix,"【变更概述】【MRV2】[2/N] 修复：核心 支持 partial prefix 缓存 hit hybrid model
【PR号】#46384
【变更类型】此提交为问题修复类型
【变更文件】新增 ",medium,config-align,否,M,medium-risk,"tests/v1/core/prefix_cache/test_partial_prefix_cache_hits.py, tests/v1/core/test_deferred_block_free.py, tests/v1/core/test_kv_cache_utils.py",同步 vllm/config/ 下的默认值 | 验证 Ascend 侧配置语义一致,确认 test-ci 模块在 Ascend 行为一致
skip,8e981630,2026-07-12,test-ci,bugfix,[CI][CPU] Add Qwen2-VL multimodal tests for CPU backend and fix incompatibilities (#48072),none,skip,否,S,low-risk,".buildkite/hardware_tests/cpu.yaml, tests/models/multimodal/generation/test_qwen2_5_vl.py",,
P3,9a48eef8,2026-07-12,test-ci,bugfix,"【变更概述】[Bugfix] 新增：LoRA 支持 ark_linear base layer _get_lora_device
【PR号】#47690
【变更类型】此提交为问题修复类型
【变更文件】",low,auto-inherit,否,S,low-risk,"tests/lora/test_layers_utils.py, vllm/lora/layers/utils.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,b3cfca99,2026-07-13,other,bugfix,"【变更概述】[Mypy Fix] 更新：拆分 Mypy 工作
【PR号】#48490
【变更类型】此提交为问题修复类型
【变更文件】修改 tools/pre_commit/mypy.py (+24/-",low,auto-inherit,否,S,low-risk,tools/pre_commit/mypy.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,56a357ed,2026-07-13,test-ci,bugfix,"【变更概述】[Bugfix] [KV Cache] 更新：Don't route uniform-page-size MLA+SWA models into DeepseekV4 packing
【P",medium,auto-inherit,否,S,medium-risk,"tests/v1/core/test_kv_cache_utils.py, vllm/v1/core/kv_cache_utils.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
skip,75fe92a3,2026-07-13,distributed,performance,"【变更概述】[Distributed] [Perf] 更新：Enable FlashInfer MNNVL AllReduce RMS quant 融合
【PR号】#48064
【变更类型】此提交为性",none,skip,否,S,low-risk,"vllm/compilation/passes/fusion/allreduce_rms_fusion.py, vllm/distributed/device_communicators/flashinfer_all_reduce.py",,
P2,36484e46,2026-07-13,model-architecture,bugfix,"【变更概述】[BugFix] 更新：Restore full tokens Qwen MTP When MoE SP
【PR号】#48429
【变更类型】此提交为问题修复类型
【变更文件】修改 vll",medium,auto-inherit,否,S,medium-risk,"vllm/model_executor/models/qwen3_5_mtp.py, vllm/model_executor/models/qwen3_next_mtp.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
P2,8c5dafcd,2026-07-13,test-ci,bugfix,"【变更概述】[Bugfix] [UT] 修复：修复 EagleMiniCPMForCausalLM meet TypeError
【PR号】#48452
【变更类型】此提交为问题修复类型
【变更文件】",medium,auto-inherit,否,S,medium-risk,"tests/models/registry.py, vllm/model_executor/models/minicpm_eagle.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
skip,775c1589,2026-07-13,distributed,bugfix,"【变更概述】[Bugfix] [ROCm] 更新：Keep TP all_gather base-class collective
【PR号】#48446
【变更类型】此提交为问题修复类型
【变更文件",none,skip,否,S,low-risk,vllm/distributed/device_communicators/cuda_communicator.py,,
P3,2595d5ce,2026-07-13,moe-fusion,performance,"【变更概述】[Model] 优化：优化 Qwen3.5 H20
【PR号】#48350
【变更类型】此提交为性能优化类型
【变更文件】新增 vllm/model_executor/layers/fus",low,auto-inherit,否,S,low-risk,"vllm/model_executor/layers/fused_moe/configs/E=256,N=256,device_name=NVIDIA_H20.json",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,4c81772e,2026-07-13,distributed,bugfix,"【变更概述】[Bugfix] [KV Offloading] 修复：修复 stale transfer_jobs after reset_cache + harden job completion
【",low,auto-inherit,否,S,low-risk,vllm/distributed/kv_transfer/kv_connector/v1/offloading/scheduler.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,1ff94296,2026-07-14,config,bugfix,"【变更概述】[CI Bug] 更新：Fully solve accuracy issue DSv3.2 + MTP + Sequence Parallel
【PR号】#48036
【变更类型】此提交为",medium,config-align,否,S,medium-risk,"vllm/config/parallel.py, vllm/model_executor/models/deepseek_mtp.py, vllm/models/deepseek_v32/nvidia/mtp.py",同步 vllm/config/ 下的默认值 | 验证 Ascend 侧配置语义一致,确认 config 模块在 Ascend 行为一致
P3,af453e56,2026-07-14,test-ci,bugfix,"【变更概述】[Bugfix] 更新：Gemma4 parser classify channel-less output consistently streaming non-streaming
【P",low,auto-inherit,否,S,low-risk,"tests/parser/engine/test_gemma4_streaming_reasoning.py, vllm/parser/gemma4.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,32aef443,2026-07-14,test-ci,bugfix,"【变更概述】[Bugfix] 更新：Include inline per-token-head scales offloaded page transfer width
【PR号】#48411
【变更",low,auto-inherit,否,S,low-risk,"tests/v1/core/test_kv_cache_utils.py, vllm/distributed/kv_transfer/kv_connector/v1/offloading/worker.py, vllm/v1/kv_cache_interface.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,793cf79c,2026-07-14,test-ci,bugfix,"【变更概述】[Bugfix] [Security] 修复：修复 concurrent sparse invariant race bypassing CVE remediation
【PR号】#485",medium,auto-inherit,否,S,medium-risk,"tests/renderers/test_sparse_tensor_concurrent_race.py, vllm/multimodal/media/audio.py, vllm/multimodal/media/image.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P3,038ec293,2026-07-14,test-ci,bugfix,"【变更概述】[Bugfix] 更新：Return 400 instead 500 when 多模态 data is sent text-only model
【PR号】#48473
【变更类型】此提交",low,auto-inherit,否,S,low-risk,"tests/renderers/test_process_multi_modal_uuids.py, vllm/renderers/base.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,c9a788ee,2026-07-14,other,bugfix,"【变更概述】修复：fix(security guard lm-format-enforcer regex compile 超时
【PR号】#47595
【变更类型】此提交为问题修复类型
【变更文件】修",low,auto-inherit,否,S,low-risk,vllm/v1/structured_output/backend_lm_format_enforcer.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
skip,af1f036a,2026-07-14,test-ci,bugfix,[Bugfix] Skip minimax_m3 tool parser tests when Rust extension is absent (#48523),none,skip,否,S,low-risk,tests/tool_parsers/test_minimax_m3_tool_parser.py,,
P3,dcf4072d,2026-07-14,other,bugfix,"【变更概述】[Perf] [ROCm] 修复：修复 GDN KKT warmup regression RDNA by avoiding fp32 tl.dot
【PR号】#45000
【变更类型】此",low,auto-inherit,否,S,low-risk,vllm/model_executor/layers/fla/ops/chunk_scaled_dot_kkt.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,fec64fea,2026-07-14,other,bugfix,"【变更概述】[BugFix] 更新：Correct OTEL span start time Dynamo compilation
【PR号】#40698
【变更类型】此提交为问题修复类型
【变更文件",low,auto-inherit,否,S,low-risk,vllm/compilation/backends.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,9a21f0d1,2026-07-14,model-architecture,bugfix,"【变更概述】[BugFix] 更新：Initialize model_config Qwen3-VL MoE
【PR号】#44863
【变更类型】此提交为问题修复类型
【变更文件】修改 vllm/mo",medium,auto-inherit,否,S,medium-risk,vllm/model_executor/models/qwen3_vl_moe.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
P3,550218b1,2026-07-14,test-ci,bugfix,【变更概述】[Bugfix] [Frontend] 更新：Flush engine reasoning parser at engine-reasoning → tool streaming boun,low,auto-inherit,否,S,low-risk,"tests/parser/test_streaming.py, vllm/parser/abstract_parser.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,26587f95,2026-07-14,core-engine,bugfix,【变更概述】【MRV2】[BugFix] 【MRV2】[ModelRunner V2] 【MRV2】修复：修复 stale attn metadata speculator prefill cudag,medium,idea-copy,否,L,medium-risk,"vllm/v1/worker/gpu/cudagraph_utils.py, vllm/v1/worker/gpu/model_runner.py, vllm/v1/worker/gpu/spec_decode/autoregressive/cudagraph_utils.py",理解上游优化思路（vllm/v1/worker/gpu/cudagraph_utils.py） | 用 Ascend 算子（TBE/AscendCL）重新实现 | 性能对比验证收益,确认 core-engine 模块在 Ascend 行为一致
skip,5811ed6a,2026-07-15,test-ci,bugfix,[Test][kv_offload] Fix flaky drain() helper in test_fs_tier.py (#48545),none,skip,否,S,low-risk,tests/v1/kv_offload/tiering/test_fs_tier.py,,
P3,1b30ae4c,2026-07-15,other,bugfix,"【变更概述】[Rust Frontend] 修复：修复 flaky `tls_handshake_timeout_drops_silent_client` 测试
【PR号】#47873
【变更类型】此",low,auto-inherit,否,S,low-risk,"rust/.config/nextest.toml, rust/src/server/src/tls_tests.rs",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,66b6c684,2026-07-15,distributed,bugfix,"【变更概述】[PD] [Bugfix] 修复：修复 validation 缓存 shape attn backends enforcing different `kernel_block_size`
",low,auto-inherit,否,S,low-risk,vllm/distributed/kv_transfer/kv_connector/v1/nixl/base_worker.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,c0302d94,2026-07-15,test-ci,bugfix,"【变更概述】[Bugfix] 修复：修复 parallel_tool_calls=null crash Responses API from_request
【PR号】#48098
【变更类型】此提交",low,auto-inherit,否,S,low-risk,"tests/tool_use/test_responses_request_validations.py, vllm/entrypoints/openai/responses/protocol.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,313fae3e,2026-07-15,other,bugfix,"【变更概述】[Bugfix] 修复：修复 GLM5 config
【PR号】#48711
【变更类型】此提交为问题修复类型
【变更文件】修改 vllm/transformers_utils/confi",low,auto-inherit,否,S,low-risk,vllm/transformers_utils/config.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,7aab6e26,2026-07-15,test-ci,bugfix,"【变更概述】[ROCm] [Bugfix] 更新：Enable fp32 head_dtype torch.mm fast path ROCm
【PR号】#48688
【变更类型】此提交为问题修复类型",low,auto-inherit,否,S,low-risk,"tests/v1/sample/test_head_dtype.py, vllm/model_executor/layers/logits_processor.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
skip,9dd2e728,2026-07-15,test-ci,bugfix,fix flaky multi example connector consistency (#48206),none,skip,否,S,low-risk,tests/v1/kv_connector/unit/test_multi_connector.py,,
P2,adce0681,2026-07-15,test-ci,bugfix,"【变更概述】[ROCm] [CI] 修复：修复 test_common.py
【PR号】#48676
【变更类型】此提交为问题修复类型
【变更文件】修改 tests/conftest.py (+9/-",medium,auto-inherit,否,S,medium-risk,"tests/conftest.py, vllm/model_executor/models/hyperclovax.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P3,3b39fd28,2026-07-15,test-ci,bugfix,"【变更概述】[Bugfix] [Spec Decode] 新增：支持 heterogeneous QK 融合 geometry
【PR号】#48671
【变更类型】此提交为问题修复类型
【变更文件】修",low,auto-inherit,否,S,low-risk,"tests/compile/passes/test_qk_norm_rope_fusion.py, vllm/compilation/passes/fusion/qk_norm_rope_fusion.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,64721312,2026-07-15,other,bugfix,"【变更概述】[Bugfix] 更新：Set kv_quant_mode generic MLA KV-cache spec
【PR号】#48379
【变更类型】此提交为问题修复类型
【变更文件】修改 ",low,auto-inherit,否,S,low-risk,vllm/model_executor/layers/attention/mla_attention.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,442c421e,2026-07-15,model-architecture,performance,"【变更概述】[Perf] 更新：移除 redundant repeat copy dsv4 1.8% E2E TPOT improvement
【PR号】#48137
【变更类型】此提交为性能优化类型",medium,auto-inherit,否,S,medium-risk,"vllm/model_executor/kernels/mhc/tilelang.py, vllm/model_executor/kernels/mhc/tilelang_kernels.py, vllm/models/deepseek_v4/nvidia/model.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
P3,0bd6b85a,2026-07-15,test-ci,bugfix,"【变更概述】[Bugfix] 更新：Preserve unloaded non-persistent buffers during layerwise reload
【PR号】#44371
【变更类型",low,auto-inherit,否,S,low-risk,"tests/model_executor/model_loader/test_reload.py, vllm/model_executor/model_loader/reload/layerwise.py, vllm/model_executor/model_loader/reload/meta.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,3ca242d1,2026-07-15,test-ci,bugfix,"【变更概述】【MRV2】[Bugfix] 【MRV2】[R3] 【MRV2】更新：Exclude draft routers from expert capture
【PR号】#48622
【变更类型",medium,cherry-pick,否,S,medium-risk,"tests/model_executor/test_routed_experts_capture.py, vllm/v1/worker/gpu_model_runner.py",Cherry-pick 上游 PR 到 vllm-ascend 对应路径 | 验证 tests/model_executor/test_routed_experts_capture.py 修改未破坏 NPUModelRunner,确认 test-ci 模块在 Ascend 行为一致
skip,7e950521,2026-07-15,attention-kv-cache,bugfix,fix: size FlashInfer prefill workspace to batch head footprint (#48428),none,skip,否,S,low-risk,vllm/v1/attention/backends/flashinfer.py,,
skip,0f0f28b5,2026-07-15,test-ci,bugfix,[Bugfix][CI] Fix test_head_dtype quant_method test on ROCm (#48654),none,skip,否,S,low-risk,tests/v1/sample/test_head_dtype.py,,
P3,520a20ba,2026-07-15,test-ci,bugfix,"【变更概述】[Bugfix] 新增：MoRIIO toy P/D proxy 添加 /health
【PR号】#45222
【变更类型】此提交为问题修复类型
【变更文件】修改 examples/dis",low,auto-inherit,否,S,low-risk,"examples/disaggregated/disaggregated_serving/moriio_toy_proxy_server.py, tests/v1/kv_connector/unit/test_moriio_toy_proxy_server.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,313d01f5,2026-07-15,test-ci,bugfix,"【变更概述】[CI] [Bugfix] 修复：修复 FlashAttention reported MLA dimension 支持
【PR号】#48631
【变更类型】此提交为问题修复类型
【变更文",medium,auto-inherit,否,S,medium-risk,"docs/design/attention_backends.md, tests/v1/attention/test_mla_prefill_selector.py, tools/pre_commit/generate_attention_backend_docs.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
skip,05d4f8bb,2026-07-15,test-ci,bugfix,[ROCm][CI] fix flashinfer import check (#48647),none,skip,否,S,low-risk,tests/v1/attention/test_flashinfer_dcp_spec_reorder.py,,
P3,32e632df,2026-07-15,other,performance,"【变更概述】[Reasoning] 优化：优化 TPOT thinking budget when used speculative decoding
【PR号】#46662
【变更类型】此提交为性能",low,auto-inherit,否,S,low-risk,"vllm/v1/sample/rejection_sampler.py, vllm/v1/sample/sampler.py, vllm/v1/sample/thinking_budget_state.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,b2f7d256,2026-07-15,other,bugfix,"【变更概述】[Bugfix] 更新：Make MLA+SWA check layer's 后端 not model config
【PR号】#48520
【变更类型】此提交为问题修复类型
【变更文件】",low,auto-inherit,否,S,low-risk,vllm/model_executor/layers/attention/attention.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,75bdad40,2026-07-16,test-ci,bugfix,"【变更概述】[Bug] [Quantization] 修复：修复 humming is_layer_skipped compressed-tensors ""re:"" ignore entries
【P",low,auto-inherit,否,S,low-risk,"tests/quantization/test_humming_ignore.py, vllm/model_executor/layers/quantization/humming.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,d08eebad,2026-07-16,test-ci,performance,"【变更概述】[Perf] [MoE] 更新：Write FlashInfer combine into final output
【PR号】#47156
【变更类型】此提交为性能优化类型
【变更文件】",low,auto-inherit,否,S,low-risk,"tests/distributed/test_mnnvl_alltoall.py, vllm/distributed/device_communicators/all2all.py, vllm/model_executor/layers/fused_moe/prepare_finalize/flashinfer_nvlink_one_sided.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,b8168e33,2026-07-16,test-ci,performance,"【变更概述】[ROCm] [Perf] [DSV4] 更新：Enable 拆分 sparse decode gfx942
【PR号】#46275
【变更类型】此提交为性能优化类型
【变更文件】修改 t",medium,idea-copy,否,L,medium-risk,"tests/kernels/attention/test_rocm_triton_attn_dsv4.py, vllm/v1/attention/ops/rocm_aiter_mla_sparse.py",理解上游优化思路（tests/kernels/attention/test_rocm_triton_attn_dsv4.py） | 用 Ascend 算子（TBE/AscendCL）重新实现 | 性能对比验证收益,确认 test-ci 模块在 Ascend 行为一致
